事件日期,社會住宅,遞補類型,房型,戶別,事件類型,前次數值,本次數值,變動量,事件描述
2026-06-24,豐原安康一期,隨到隨辦,一房型,一般戶,待遞補人數變化,408,411,3,豐原安康一期／隨到隨辦／一房型／一般戶 待遞補人數增加 3 人
2026-06-24,豐原安康一期,隨到隨辦,一房型,關懷戶,已遞補人數變化,215,214,-1,豐原安康一期／隨到隨辦／一房型／關懷戶 已遞補人數減少 1 人
2026-06-24,豐原安康一期,隨到隨辦,一房型,關懷戶,待遞補人數變化,214,215,1,豐原安康一期／隨到隨辦／一房型／關懷戶 待遞補人數增加 1 人
2026-06-24,豐原安康一期,隨到隨辦,三房型,關懷戶,名冊總人數變化,379,380,1,豐原安康一期／隨到隨辦／三房型／關懷戶 名冊總人數增加 1 人
2026-06-24,豐原安康一期,隨到隨辦,三房型,關懷戶,待遞補人數變化,234,235,1,豐原安康一期／隨到隨辦／三房型／關懷戶 待遞補人數增加 1 人
2026-06-24,豐原安康一期,隨到隨辦,二房型,一般戶,名冊總人數變化,722,724,2,豐原安康一期／隨到隨辦／二房型／一般戶 名冊總人數增加 2 人
2026-06-24,豐原安康一期,隨到隨辦,二房型,一般戶,待遞補人數變化,506,508,2,豐原安康一期／隨到隨辦／二房型／一般戶 待遞補人數增加 2 人
2026-06-24,豐原安康一期,隨到隨辦,二房型,關懷戶,名冊總人數變化,619,620,1,豐原安康一期／隨到隨辦／二房型／關懷戶 名冊總人數增加 1 人
2026-06-24,豐原安康一期,隨到隨辦,二房型,關懷戶,已遞補人數變化,65,64,-1,豐原安康一期／隨到隨辦／二房型／關懷戶 已遞補人數減少 1 人
2026-06-24,豐原安康一期,隨到隨辦,二房型,關懷戶,待遞補人數變化,446,447,1,豐原安康一期／隨到隨辦／二房型／關懷戶 待遞補人數增加 1 人
2026-07-09,北屯北屯,新案場招租,一房型,一般戶,已放棄人數變化,505,506,1,北屯北屯／新案場招租／一房型／一般戶 已放棄人數增加 1 人
2026-07-09,北屯北屯,新案場招租,一房型,一般戶,已遞補人數變化,109,110,1,北屯北屯／新案場招租／一房型／一般戶 已遞補人數增加 1 人
2026-07-09,北屯北屯,新案場招租,一房型,一般戶,待遞補人數變化,973,971,-2,北屯北屯／新案場招租／一房型／一般戶 待遞補人數減少 2 人
2026-07-09,南屯建功1號,新案場招租,三房型,一般戶,已放棄人數變化,12,18,6,南屯建功1號／新案場招租／三房型／一般戶 已放棄人數增加 6 人
2026-07-09,南屯建功1號,新案場招租,三房型,一般戶,待遞補人數變化,7,1,-6,南屯建功1號／新案場招租／三房型／一般戶 待遞補人數減少 6 人
2026-07-09,南屯建功1號,新案場招租,二房型,一般戶,已放棄人數變化,28,186,158,南屯建功1號／新案場招租／二房型／一般戶 已放棄人數增加 158 人
2026-07-09,南屯建功1號,新案場招租,二房型,一般戶,待遞補人數變化,207,49,-158,南屯建功1號／新案場招租／二房型／一般戶 待遞補人數減少 158 人
2026-07-09,南屯建功1號,新案場招租,二房型,關懷戶,已放棄人數變化,36,46,10,南屯建功1號／新案場招租／二房型／關懷戶 已放棄人數增加 10 人
2026-07-09,南屯建功1號,新案場招租,二房型,關懷戶,待遞補人數變化,11,1,-10,南屯建功1號／新案場招租／二房型／關懷戶 待遞補人數減少 10 人
2026-07-09,南屯建功1號,隨到隨辦,三房型,一般戶,名冊總人數變化,5,9,4,南屯建功1號／隨到隨辦／三房型／一般戶 名冊總人數增加 4 人
2026-07-09,南屯建功1號,隨到隨辦,三房型,一般戶,待遞補人數變化,5,9,4,南屯建功1號／隨到隨辦／三房型／一般戶 待遞補人數增加 4 人
2026-07-09,南屯建功1號,隨到隨辦,三房型,關懷戶,名冊總人數變化,6,19,13,南屯建功1號／隨到隨辦／三房型／關懷戶 名冊總人數增加 13 人
2026-07-09,南屯建功1號,隨到隨辦,三房型,關懷戶,已放棄人數變化,0,1,1,南屯建功1號／隨到隨辦／三房型／關懷戶 已放棄人數增加 1 人
2026-07-09,南屯建功1號,隨到隨辦,三房型,關懷戶,待遞補人數變化,6,18,12,南屯建功1號／隨到隨辦／三房型／關懷戶 待遞補人數增加 12 人
2026-07-09,南屯建功1號,隨到隨辦,二房型,一般戶,名冊總人數變化,19,40,21,南屯建功1號／隨到隨辦／二房型／一般戶 名冊總人數增加 21 人
2026-07-09,南屯建功1號,隨到隨辦,二房型,一般戶,已放棄人數變化,0,1,1,南屯建功1號／隨到隨辦／二房型／一般戶 已放棄人數增加 1 人
2026-07-09,南屯建功1號,隨到隨辦,二房型,一般戶,待遞補人數變化,19,39,20,南屯建功1號／隨到隨辦／二房型／一般戶 待遞補人數增加 20 人
2026-07-09,南屯建功1號,隨到隨辦,二房型,關懷戶,名冊總人數變化,11,21,10,南屯建功1號／隨到隨辦／二房型／關懷戶 名冊總人數增加 10 人
2026-07-09,南屯建功1號,隨到隨辦,二房型,關懷戶,待遞補人數變化,11,21,10,南屯建功1號／隨到隨辦／二房型／關懷戶 待遞補人數增加 10 人
2026-07-09,南屯建功2、3號,隨到隨辦,一房型,一般戶,名冊總人數變化,656,679,23,南屯建功2、3號／隨到隨辦／一房型／一般戶 名冊總人數增加 23 人
2026-07-09,南屯建功2、3號,隨到隨辦,一房型,一般戶,已放棄人數變化,35,37,2,南屯建功2、3號／隨到隨辦／一房型／一般戶 已放棄人數增加 2 人
2026-07-09,南屯建功2、3號,隨到隨辦,一房型,一般戶,待遞補人數變化,616,637,21,南屯建功2、3號／隨到隨辦／一房型／一般戶 待遞補人數增加 21 人
2026-07-09,南屯建功2、3號,隨到隨辦,一房型,關懷戶,名冊總人數變化,145,159,14,南屯建功2、3號／隨到隨辦／一房型／關懷戶 名冊總人數增加 14 人
2026-07-09,南屯建功2、3號,隨到隨辦,一房型,關懷戶,已遞補人數變化,6,8,2,南屯建功2、3號／隨到隨辦／一房型／關懷戶 已遞補人數增加 2 人
2026-07-09,南屯建功2、3號,隨到隨辦,一房型,關懷戶,待遞補人數變化,127,139,12,南屯建功2、3號／隨到隨辦／一房型／關懷戶 待遞補人數增加 12 人
2026-07-09,南屯建功2、3號,隨到隨辦,三房型,一般戶,已放棄人數變化,6,8,2,南屯建功2、3號／隨到隨辦／三房型／一般戶 已放棄人數增加 2 人
