抓取日期,社會住宅,遞補類型,房型,戶別,已遞補人數,已放棄人數,待遞補人數,名冊總人數,實際放棄率,已處理人數,上次已處理人數,本次推進人數,本週推進人數,最近4次平均推進人數
2026-06-23,梧棲三民,隨到隨辦,二房型,關懷戶,138,42,42,222,0.2333333333333333,180,180.0,0.0,0.0,0.0
2026-06-22,西屯國安一期,新案場招租,一房型,一般戶,109,0,747,856,0.0,109,,,,
2026-06-23,西屯國安一期,新案場招租,一房型,一般戶,109,0,747,856,0.0,109,109.0,0.0,0.0,0.0
2026-06-22,西屯國安一期,新案場招租,一房型,關懷戶,82,0,61,143,0.0,82,,,,
2026-06-23,西屯國安一期,新案場招租,一房型,關懷戶,82,0,61,143,0.0,82,82.0,0.0,0.0,0.0
2026-06-22,西屯國安一期,新案場招租,三房型,一般戶,28,0,24,52,0.0,28,,,,
2026-06-23,西屯國安一期,新案場招租,三房型,一般戶,28,0,24,52,0.0,28,28.0,0.0,0.0,0.0
2026-06-22,西屯國安一期,新案場招租,三房型,關懷戶,19,0,132,151,0.0,19,,,,
2026-06-23,西屯國安一期,新案場招租,三房型,關懷戶,19,0,132,151,0.0,19,19.0,0.0,0.0,0.0
2026-06-22,西屯國安一期,新案場招租,二房型,一般戶,41,0,250,291,0.0,41,,,,
2026-06-23,西屯國安一期,新案場招租,二房型,一般戶,41,0,250,291,0.0,41,41.0,0.0,0.0,0.0
2026-06-22,西屯國安一期,新案場招租,二房型,關懷戶,39,0,130,169,0.0,39,,,,
2026-06-23,西屯國安一期,新案場招租,二房型,關懷戶,39,0,130,169,0.0,39,39.0,0.0,0.0,0.0
2026-06-22,西屯國安一期,隨到隨辦,一房型,一般戶,0,0,10,10,,0,,,,
2026-06-23,西屯國安一期,隨到隨辦,一房型,一般戶,0,0,10,10,,0,0.0,0.0,0.0,0.0
2026-06-22,西屯國安一期,隨到隨辦,一房型,關懷戶,0,0,5,5,,0,,,,
2026-06-23,西屯國安一期,隨到隨辦,一房型,關懷戶,0,0,5,5,,0,0.0,0.0,0.0,0.0
2026-06-22,西屯國安一期,隨到隨辦,三房型,一般戶,0,0,2,2,,0,,,,
2026-06-23,西屯國安一期,隨到隨辦,三房型,一般戶,0,0,2,2,,0,0.0,0.0,0.0,0.0
2026-06-22,西屯國安一期,隨到隨辦,三房型,關懷戶,0,0,1,1,,0,,,,
2026-06-23,西屯國安一期,隨到隨辦,三房型,關懷戶,0,0,1,1,,0,0.0,0.0,0.0,0.0
2026-06-22,西屯國安一期,隨到隨辦,二房型,一般戶,0,0,6,6,,0,,,,
2026-06-23,西屯國安一期,隨到隨辦,二房型,一般戶,0,0,6,6,,0,0.0,0.0,0.0,0.0
2026-06-22,西屯國安一期,隨到隨辦,二房型,關懷戶,0,0,6,6,,0,,,,
2026-06-23,西屯國安一期,隨到隨辦,二房型,關懷戶,0,0,6,6,,0,0.0,0.0,0.0,0.0
2026-06-22,豐原安康一期,隨到隨辦,一房型,一般戶,509,286,408,1203,0.3597484276729559,795,,,,
2026-06-23,豐原安康一期,隨到隨辦,一房型,一般戶,509,286,409,1204,0.3597484276729559,795,795.0,0.0,0.0,0.0
2026-06-22,豐原安康一期,隨到隨辦,一房型,關懷戶,215,147,214,576,0.4060773480662983,362,,,,
2026-06-23,豐原安康一期,隨到隨辦,一房型,關懷戶,215,147,214,576,0.4060773480662983,362,362.0,0.0,0.0,0.0
2026-06-22,豐原安康一期,隨到隨辦,三房型,一般戶,57,44,95,196,0.4356435643564356,101,,,,
2026-06-23,豐原安康一期,隨到隨辦,三房型,一般戶,57,44,95,196,0.4356435643564356,101,101.0,0.0,0.0,0.0
2026-06-22,豐原安康一期,隨到隨辦,三房型,關懷戶,75,69,234,379,0.4791666666666667,144,,,,
2026-06-23,豐原安康一期,隨到隨辦,三房型,關懷戶,75,69,234,379,0.4791666666666667,144,144.0,0.0,0.0,0.0
2026-06-22,豐原安康一期,隨到隨辦,二房型,一般戶,65,151,506,722,0.6990740740740741,216,,,,
2026-06-23,豐原安康一期,隨到隨辦,二房型,一般戶,65,151,507,723,0.6990740740740741,216,216.0,0.0,0.0,0.0
2026-06-22,豐原安康一期,隨到隨辦,二房型,關懷戶,65,108,446,619,0.6242774566473989,173,,,,
2026-06-23,豐原安康一期,隨到隨辦,二房型,關懷戶,65,108,446,619,0.6242774566473989,173,173.0,0.0,0.0,0.0
